ТУРГАН Ч0ЙР0НУ КОРГОО,рисование,матч,график,логотип,комический,карта,цены ,название
0,Номер рисунка,Игра,График, логотип,Comic.,Картирование,Фотография,Название дисциплины
1,"""изображение рисунка""","""образ игры""","""изображение графика""","""изображение логотипа""","""образ комикса""","""изображение карты""","""изображение фотографии""","""изображение заголовка"""
2,«традиционный рисунок»,настольная игра,Графическое представление,"""эмблематический логотип""","""традиционный комикс""","""информативная карта""","""историческая фотография""","""title-font letter"""
3,"""описательный монохроматический рисунок""","""занимательная настольная игра"",","""информативный репрезентативный график""","""символический логотип бренда""","""развлекательный традиционный комикс""",«топографическая информационная карта»,"""историческая журнальная фотография""","""шрифт заголовка латинская буква"""
4,"""описательный рисунок или иллюстративный рисунок или портретный рисунок или карикатура","""игра-головоломка или настольная игра или дидактическая игра""","""линейная диаграмма или гистограмма""","""логотип компании или логотип бренда или логотип учреждения""","""приключенческий комикс или юмористический комикс или комикс о супергероях или военный комикс""","""карта страны или региональная карта или карта погоды""","""историческая фотография или журнальная фотография или портретная фотография""","""название или буква алфавита"""
5,"""описательный рисунок, иллюстративный рисунок, портретный рисунок, карикатурный дра","""игра-головоломка, настольная игра, дидактическая игра""","""линейный график, гистограмма""","""логотип компании, логотип бренда, логотип учреждения""","""приключенческий комикс, юмористический комикс, супергеройский комикс, военный комикс""","""карта страны, региональная карта, карта погоды""","""историческая фотография, журнальная фотография, портретная фотография""","""заголовок, буква алфавита"""
6,"""Это изображение нарисовано карандашом""","""В эту игру можно играть в одиночку или в группах""","""Этот график был построен с использованием некоторых собранных данных""","""Этот логотип разработан для клиента""","«Этот комикс - история, рассказанная последовательными изображениями»","""Эта карта может быть использована для изучения географии""",«Эта фотография сделана старой камерой»,«Эта большая буква знаменует собой начало заголовка».
7,"«Рисунок или иллюстрация: могут быть портретными или модными рисунками, но также и орнам","""Игра или головоломка: судоку, шахматы, кроссворды, покер, карточные игры, гоу и т.д....""","""График или диаграмма: графики соответствуют простым, ""y = f (x)""","«Логотип: Классические логотипы, сочетает в себе текст и графику с преобладающим текстом, старый п",«Комический или сатирический рисунок: любой юмор или развлекательный рисунок. Может включать,"«Карта: включает географические, геологические и геополитические карты, а также мы","«Фотографии: черно-белые или цветные, иногда с украшенными рамками».","""Заголовок: Большой заголовок, или титульное письмо, почти исключительно от Le Confédéré."""
8,"«рисунок: картина, сделанная карандашом или ручкой»","""игра: развлекательное мероприятие или оборудование, необходимое для такого мероприятия","""graph: рисунок, который показывает, как два набора информации или переменных соотносятся","""логотип: дизайн или символ, используемый компанией для рекламы своей продукции""","«комикс: набор историй, рассказанных в картинках с небольшим количеством написанного»","""map: представление земной поверхности, или части этой поверхности, showi","""фотография: изображение, полученное с помощью камеры""","""title: название фильма, книги, картины, музыкального произведения"""
9,"«картина, сделанная карандашом или ручкой»","«развлекательная деятельность или оборудование, необходимое для такой деятельности»","""изображение, которое показывает, как связаны два набора информации или переменных, u","""дизайн или символ, используемый компанией для рекламы своей продукции""","«набор историй, рассказанных в картинках с небольшим количеством письма»","""изображение земной поверхности или части этой поверхности, показывающее",,"«картина, созданная с помощью камеры», «название фильма, книги, картины, пирога"
10,"«рисунок: картина, сделанная карандашом или ручкой»","""игра: развлекательное мероприятие или вид спорта, особенно играемый детьми,","""graph: рисунок, который показывает, как два набора информации или переменных (= amou","""логотип: дизайн или символ, используемый компанией для рекламы своей продукции""","«комикс: набор историй, рассказанных в картинках с небольшим количеством написанного»","""карта: чертеж земной поверхности или части этой поверхности, показывающий","""фотография: изображение, полученное с помощью камеры""","""title: название фильма, книги, картины, музыкального произведения"""
11,"«картина, сделанная карандашом или ручкой»","""развлекательное мероприятие или спорт, особенно тот, в который играют дети, или","""рисунок, который показывает, как два набора информации или переменных (= суммы,","""дизайн или символ, используемый компанией для рекламы своей продукции""","«набор историй, рассказанных в картинках с небольшим количеством письма»","""рисунок земной поверхности или части этой поверхности, показывающий форму","""изображение, полученное с помощью камеры""","«название фильма, книги, картины, музыкального произведения»"
12,"«Рисунок подобен окну в воображение художника, где зритель в","«Игра - это как путешествие по извилистой дороге. Он полон вызовов, сюр",«График похож на дорожную карту для данных. Он служит руководством для осмысления,«Логотип - это как крепкое рукопожатие. Это первое впечатление и введение,"«Комикс - это как катание на американских горках для вашего воображения. Так же, как роллер",«Карта похожа на карту сокровищ для изучения реального мира. Обеспечивает k,"«Фотография - это как застывший момент времени, память, сохраненная в кадре.","«Титул - это как указатель на пути познания. Так же, как указатель пров."
